Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Samsung Galaxy S24 Plus 5G Demo,15.496.360 ₫,Not available,4 tháng,Trầy xước ít,Việt Nam,01/2024,4,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,17 x 9 x 3 mm,200 g,,Nhựa tổng hợp,Snapdragon 8 Gen 3,,8,,12 GB,6.7 inch,,2K,1080 x 2400 Pixels,,,,,2500 nits,,256 GB,,,,,,,,,,,,,,,,,,,,,,4900 mAh,Android,Android 14,,,,,,,,,,,,,,,,,,,,,,
Điện thoại di động Samsung Galaxy Z Fold5 5G 256GB Demo Xanh SM-F946B,19.501.570 ₫,Not available,6 tháng,Trầy xước ít,Việt Nam,08/2023,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,155.1 x 130.1 x 6.3,263 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8+ Gen 1,Octa-Core,8,,12 GB,7.6 inch,Dynamic AMOLED 2X,WXGA+,Màn hình chính: 2176 x 1812 Pixels,16 Triệu,120 Hz,Màn hình chính: Kính siêu mỏng Ultra Thin Glass (UTG),Điện dung đa điểm,1200 nits,Adreno 670,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 10.0 MP - 4.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,FullHD 1080p@240fps HD 720p@960fps - Quay phim FullHD Quay phim HD,Xóa phông Flash LED Tự động lấy nét (AF) HDR Chuyên nghiệp (Pro) Làm đẹp video Ổn định hình ảnh quang học Chụp góc siêu rộng (Ultrawide) Làm đẹp (Beautify) Gắn thẻ ảnh địa lý A.I Camera Ban đêm (Night Mode) Chống rung quang học (OIS) Quay chậm (Slow Motion) Toàn cảnh (Panorama) Nhận diện khuôn mặt Trôi nhanh thời gian (Time Lapse) Zoom kỹ thuật số Lấy nét laser Chụp góc rộng (Wide) Lấy nét theo pha (PDAF) Zoom quang học ISO Setting Cài đặt cân bằng trắng - Xoá phông Nhận diện khuôn mặt A.I Camera Nhãn dán (AR Stickers) Tự động lấy nét (AF) HDR Làm đẹp (Beautify),Single selfie camera,Cảm biến la bàn Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac/ax Wi-Fi Hotspot Wi-Fi Direct,A-GPS GLONASS GALILEO QZSS,v5.2,NFC OTG Radio FM Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,4400 mAh,Android,Android 12,Sách HDSD Cáp Que lấy SIM,,88%,LPDDR5,,21:9,,,,,,,,,,,,,,,,
Điện thoại di động Samsung Galaxy Z Flip5 5G 256GB Demo Xanh SM-F731B,9.751.280 ₫,Not available,6 tháng,Trầy xước ít,Trung Quốc Việt Nam,08/2028,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8 Gen 2,Octa-Core,8,,8 GB,6.7 inch,Dynamic AMOLED,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,,,128 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,HD 720p@30fps FullHD 1080p@30fps FullHD 1080p@60fps - Quay phim FullHD,Chụp góc rộng (Wide) Chống rung quang học (OIS) Ổn định hình ảnh quang học HDR Làm đẹp video Quay chậm (Slow Motion) Tự động lấy nét (AF) Xóa phông Nhận diện khuôn mặt Lấy nét theo pha (PDAF) Chụp góc siêu rộng (Ultrawide) Flash LED Chuyên nghiệp (Pro) Trôi nhanh thời gian (Time Lapse) ISO Setting A.I Camera Làm đẹp (Beautify) Lấy nét laser Gắn thẻ ảnh địa lý Cài đặt cân bằng trắng Toàn cảnh (Panorama) Ban đêm (Night Mode) Zoom quang học Zoom kỹ thuật số - HDR Nhận diện khuôn mặt Nhãn dán (AR Stickers) Tự động lấy nét (AF) A.I Camera Làm đẹp (Beautify),Single selfie camera,Cảm biến ánh sáng Cảm biến vân tay Cảm biến la bàn Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,Cổng sạc: Type C,802.11 a/b/g/n,GLONASS GALILEO A-GPS QZSS,v5.0,Radio FM OTG Computer sync NFC,1,"1 eSIM, 1 Nano SIM",Lithium polymer,3700 mAh,Android,Android 11,Que lấy SIM Sách HDSD Cáp,,82%,LPDDR5,,21:9,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 13 Pro 8GB,5.142.060 ₫,7.290.000 ₫,7 tháng,Trầy xước ít,Trung Quốc,03/2024,7,,,161.4 x 74.95 x 7.98,188 g,IP54,Mặt lưng máy: Nhựa,MediaTek Helio G99-Ultra,,,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,Gorilla Glass 5,,1300 nits,Mali-G57 MC2,128 GB,Khoảng 225 GB,,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,200.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/1.65 - ƒ/2.2 - ƒ/2.4,,Chống rung quang học (OIS),,Hồng ngoại,Mở khóa vân tay dưới màn hình,4G,Cổng sạc: Type C,,,v5.2,Slot SIM/thẻ nhớ dùng chung NFC,2,,,5000 mAh,Android,Android 13.0,Cáp Type C Sạc Sách HDSD Ốp lưng Que lấy SIM,1 TB,,LPDDR4X,,,,5.000.000 : 1,100% DCI-P3,2.24 µm,,,,,,,,,,,,
OPPO Find N2 Flip,8.157.600 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,03/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,166.2 x 75.2 x 7.45,191 g,IPX4,Mặt lưng máy: Kính Gorilla Glass 5 Khung máy: Hợp kim,MediaTek Dimensity 9000+ 5G,,8,3.2 GHz,8 GB,6.8 inch,AMOLED,FHD+,2520 x 1080 Pixels,16 Triệu,120 Hz,Kính siêu mỏng Ultra Thin Glass (UTG),Điện dung đa điểm,,Mali-G710 MC10,256 GB,,Không giới hạn,Không,Double rear camera,Standard - Ultra Wide,50.0 MP - 8.0 MP - 32.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,1080p@30fps 720p@30fps - Quay phim FullHD Quay phim HD,A.I Camera Ban đêm (Night Mode) Chụp góc rộng (Wide) Chụp góc siêu rộng (Ultrawide) Chuyên nghiệp (Pro) HDR Làm đẹp (Beautify) Làm đẹp video Lấy nét laser Quay chậm (Slow Motion) Toàn cảnh (Panorama) Trôi nhanh thời gian (Time Lapse) - A.I Camera Ban đêm (Night Mode) Chụp góc rộng (Wide) Làm đẹp (Beautify) Nhãn dán (AR Stickers) Tự động lấy nét (AF) Nhận diện khuôn mặt,Single selfie camera,Cảm biến ánh sáng Cảm biến la bàn Cảm biến tiệm cận Cảm biến trọng lực Con quay hồi chuyển,Mở khóa bằng mật mã Mở khoá vân tay cạnh viền Mở khóa khuôn mặt,3G 4G 5G,Type C,802.11 a/b/g/n/ac/ax Wifi 6 Dual-band (2.4 GHz/ 5 GHz),A-GPS,v5.3,NFC OTG,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium polymer,4300 mAh,Android,Android 13.0 (ColorOS 13),Cáp Type C Dock sạc Ốp lưng Que lấy SIM Sách HDSD,,,,3.26 inch,,,,,,,,,,,,,,,,,
Honor X9b 12GB,5.724.180 ₫,8.990.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,01/2024,9,,,163.6 x 75.5 x 7.98 mm,185 g,,Khung máy: Nhựa,Snapdragon 6 Gen 1,,8,2.2 GHz,12 GB,6.78 inch,,AMOLED,1200 x 2652 Pixels,1.07 tỷ,120,Kính cường lực,Cảm ứng đa điểm,,Adreno A710,256 GB,Khoảng 223 GB,,Không,Triple rear camera,Standard - Wide - Ultra Wide,108.0 MP - 5.0 MP - 2.0 MP - 16.0 MP,ƒ/1.75 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,4K 1080p@30fps - Quay phim 4K,Ban đêm (Night Mode) Chụp chân dung Chuyên nghiệp (Pro) Toàn cảnh (Panorama) HDR Bộ lọc màu Hình chìm mờ Trôi nhanh thời gian (Time Lapse) Siêu cận (Macro) Chụp nụ cười Quay chậm (Slow Motion) - Chế độ chân dung Bộ lọc màu Chụp nụ cười Gương phản chiếu Hẹn giờ chụp tự động Điều khiển bằng động tác,Single selfie camera,,Mở khóa khuôn mặt Mở khóa vân tay dưới màn hình,5G 4G 3G,Cổng sạc: Type C Audio Jack: Type C,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.1,,2,2 Nano SIM,Lithium polymer,5800 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,19:9:9,,,,,4 x A78 2.2 GHz + 4 x A55 1.8 GHz,,,,,,,,,,,
Samsung Galaxy S24 Ultra 5G,22.517.000 ₫,33.990.000 ₫,6 tháng,Trầy xước ít,Việt Nam / Trung Quốc,01/2024,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,79 x 162.3 x 8.6,232 g,IP68,Khung máy: Titan,Snapdragon 8 Gen 3,,8,3.39 GHz,12 GB,6.8 inch,QHD+,Dynamic AMOLED 2X,3120 x 1440 Pixels,16 Triệu,120,Corning Gorilla Glass Victus,,2600 nits,Adreno750,256 GB,,Không giới hạn,Không,Quad rear camera,Wide - Telephoto - Telephoto - Ultra Wide,200.0 MP - 50.0 MP - 10.0 MP - 12.0 MP - 12.0 MP,ƒ/1.7 - ƒ/3.4 - ƒ/2.4 - ƒ/2.2 - ƒ/2.2,UHD 8K (7680 x 4320)@30fps - Quay film chân dung,"Zoom quang học 3x Zoom kĩ thuật số 30x Chống rung kỹ thuật số AI VDIS và quang học OIS Chụp hình & quay phim với Portrait AI Chế độ Super HDR Trợ lí Chỉnh ảnh (Gợi ý chỉnh sửa, Hậu kì sáng tạo) Chụp chân dung Chụp góc rộng (Wide) HDR Trôi nhanh thời gian (Time Lapse) Tự động lấy nét (AF) Ban đêm (Night Mode) Chụp góc siêu rộng (Ultrawide) Chống rung quang học (OIS) Zoom kĩ thuật số 100x Zoom quang học 10x Toàn cảnh (Panorama) Xóa phông Quay siêu chậm (Super Slow Motion) - Chụp bằng cử chỉ Ban đêm (Night Mode) Làm đẹp (Beautify) Chế độ chân dung - Thu nhỏ màn hình sử dụng một tay Samsung Wallet (Samsung Pay) Phiên dịch Trực tiếp Trợ lý Chỉnh ảnh Trợ lý Chat thông minh Khoanh Vùng Search Đa năng Samsung DeX Công nghệ NFC Đa cửa sổ (chia đôi màn hình) Chạm 2 lần sáng màn hình Sạc nhanh 45W Tích hợp S-Pen trong thân máy Trợ lý Note Quyền năng AKG Dolby Chặn tin nhắn Chặn cuộc gọi Màn hình luôn bật (Alway on display)",Single selfie camera,,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G 5G,1 Type C,"802.11 a/b/g/n/ac/ax, 2x2 MIMO Wi-Fi Direct",GALILEO GLONASS GPS BEIDOU QZSS,v5.3,NFC Bluetooth,1,"1 eSIM, 1 Nano SIM",Lithium-ion,5000 mAh,Android,Android 14,Que lấy SIM Cáp Type C Sách HDSD,,,,,,,,,2.40 µm - 1.12 µm - 1.12 µm,1 x 3.39 GHz + 2 x 3.1 GHz + 3 x 2.9 GHz + 2 x 2.2 GHz,1.40 µm,,,,,,,,,,
Samsung Galaxy Z Flip4 5G,6.749.820 ₫,23.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8+ Gen 1,Octa-Core,8,,8 GB,6.7 inch,Dynamic AMOLED 2X,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,128 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,HD 720p@30fps FullHD 1080p@30fps FullHD 1080p@60fps - Quay phim FullHD,Chuyên nghiệp (Pro) Làm đẹp (Beautify) Gắn thẻ ảnh địa lý Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Chống rung quang học (OIS) Chụp góc siêu rộng (Ultrawide) Lấy nét theo pha (PDAF) Tự động lấy nét (AF) Ban đêm (Night Mode) Lấy nét laser HDR Làm đẹp video Xóa phông Ổn định hình ảnh quang học Toàn cảnh (Panorama) Zoom quang học Chụp góc rộng (Wide) ISO Setting Cài đặt cân bằng trắng A.I Camera Flash LED Zoom kỹ thuật số Nhận diện khuôn mặt - Tự động lấy nét (AF) Nhận diện khuôn mặt HDR Nhãn dán (AR Stickers) A.I Camera Làm đẹp (Beautify),Single selfie camera,Cảm biến tiệm cận Cảm biến la bàn Cảm biến vân tay Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,Cổng sạc: Type C,802.11 a/b/g/n,GLONASS GALILEO QZSS A-GPS,v5.2,OTG NFC Radio FM Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Que lấy SIM Sách HDSD Cáp,,82%,LPDDR5,19 inch,21:9,,,,,,,,,,,,,,,,
Redmi 13C 6GB-128GB Demo,2.184.050 ₫,Not available,2 tháng,Trầy xước ít,Trung Quốc,11/2023,2,,,168 x 78 x 8.09 mm,192 g,Không,Khung máy: Nhựa Mặt lưng máy: Nhựa,Helio G85,,8,1 GHz,6 GB,6.74 inch,IPS LCD,HD+,720 x 1600 Pixels,,90 Hz,,,,Mali-G52 MC2,128 GB,Khoảng 115 GB,,MicroSD,Double rear camera,,50.0 MP - 2.0 MP - 8.0 MP,,FullHD 1080p@30fps HD 720p@30fps,Làm đẹp (Beautify) Flash LED Tự động lấy nét (AF) - Làm đẹp (Beautify) Xoá phông,Single selfie camera,,Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BDS GLONASS GPS,v5.2,,2,2 Nano SIM,,5000 mAh,Android,Android 12,Sạc Cáp Type C Que lấy SIM Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 12 8GB,,5.790.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.66 x 75.96 x 7.85,183.5 g,IP53,Nhựa,Snapdragon 685,,,2.80 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 3,,1200 nits,Adreno 610,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 8.0 MP - 2.0 MP - 13.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,,,Single selfie camera,,Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C,,,v5.0,,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Que lấy SIM Cáp Sách HDSD Ốp lưng Sạc,,,LPDDR4X,,,,,,0.64 µm,,,,,,,,,,,,
Redmi 13C 6GB,2.209.680 ₫,3.490.000 ₫,4 tháng,Trầy xước nhiều,Trung Quốc,11/2023,4,,,168 x 78 x 8.09,192 g,Không,Khung máy: Nhựa Mặt lưng máy: Nhựa,Helio G85,,8,1 GHz,6 GB,6.74 inch,IPS LCD,HD+,720 x 1600 Pixels,,90 Hz,,,,Mali-G52 MC2,128 GB,Khoảng 115 GB,,MicroSD,Double rear camera,,50.0 MP - 2.0 MP - 8.0 MP,,FullHD 1080p@30fps HD 720p@30fps,Làm đẹp (Beautify) Flash LED Tự động lấy nét (AF) - Làm đẹp (Beautify) Xoá phông,Single selfie camera,,Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BDS GLONASS GPS,v5.2,,2,2 Nano SIM,,5000 mAh,Android,Android 12,Sạc Cáp Type C Que lấy SIM Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
OPPO A58 6GB,3.148.200 ₫,4.990.000 ₫,3 tháng,Trầy xước ít,Trung Quốc,07/2023,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.65 x 75.98 x 7.99,192 g,IP54,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Hợp kim,Helio G85,,8,2 GHz,6 GB,6.7 inch,IPS LCD,FHD+,Màn hình chính: 1080 x 2400 Pixels 1080 x 2400 Pixels,16 Triệu,60 Hz,Kính cường lực Panda,Điện dung đa điểm,,Mali-G52 MP2,128 GB,Khoảng 106 GB,Không giới hạn,MicroSD,Double rear camera,Standard - Depth,50.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.0,HD 720p@30fps FullHD 1080p@30fps - Quay phim FullHD Quay phim HD,A.I Camera Trôi nhanh thời gian (Time Lapse) Ban đêm (Night Mode) Tự động lấy nét (AF) Xóa phông Chuyên nghiệp (Pro) Quay chậm (Slow Motion) Toàn cảnh (Panorama) - A.I Camera Ban đêm (Night Mode) Nhãn dán (AR Stickers) - Mở rộng bộ nhớ RAM Loa kép,Single selfie camera,Cảm biến la bàn Cảm biến trọng lực Cảm biến vân tay Cảm biến gia tốc Cảm biến ánh sáng Cảm biến tiệm cận,Mật khẩu Mở khóa khuôn mặt Mở khoá vân tay cạnh viền,4G,Type C Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),GPS,v5.3,Jack 3.5 mm OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Que lấy SIM Ốp lưng Sạc Sách HDSD Cáp Type C,1 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 13 6GB,3.249.950 ₫,4.890.000 ₫,6 tháng,Trầy xước ít,Trung Quốc,01/2024,6,,,162.24 x 75.55 x 7.97 mm,188.5 g,IP54,Khung máy: Nhựa Mặt lưng máy: Nhựa,Snapdragon 685,,,,6 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,,,,,128 GB,Khoảng 113 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,1080p@60fps - Quay phim FullHD,HDR,Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,GPS GLONASS,v5.1,,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sạc Cáp Ốp lưng Sách HDSD Que lấy SIM,512 GB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 13 Pro 8GB Demo,5.027.000 ₫,Not available,5 tháng,Trầy xước ít,Trung Quốc,03/2024,5,,,161.4 x 74.95 x 7.98,188 g,IP54,Mặt lưng máy: Nhựa,MediaTek Helio G99-Ultra,,,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,Gorilla Glass 5,,1300 nits,Mali-G57 MC2,128 GB,Khoảng 225 GB,,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,200.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/1.65 - ƒ/2.2 - ƒ/2.4,,Chống rung quang học (OIS),,Hồng ngoại,Mở khóa vân tay dưới màn hình,4G,Cổng sạc: Type C,,,v5.2,Slot SIM/thẻ nhớ dùng chung NFC,2,,,5000 mAh,Android,Android 13.0,Cáp Type C Sạc Sách HDSD Ốp lưng Que lấy SIM,1 TB,,LPDDR4X,,,,5.000.000 : 1,100% DCI-P3,2.24 µm,,,,,,,,,,,,
Samsung Galaxy S23 FE 5G Demo,,Not available,6 tháng,Trầy xước ít,Việt Nam,03/2024,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,158 x 76.5 x 8.2 mm,209 g,,Khung máy: Kim loại,Exynos 2200,Octa-Core,8,,8 GB,6.4 inch,FHD+,Dynamic AMOLED 2X,1080 x 2340 Pixels,,,,,1450 nits,Xclipse 920,128 GB,,,,,,,,,,,,,,Type C,,,,,2,,Lithium polymer,4500 mAh,Android,Android 14,,,,,,,,,,,,,,,,,,,,,,
Honor X6A Demo,1.749.000 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,T8.2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.32 x 75.07 x 8.35 mm,188 g,,Nhựa,MediaTek Helio G36,Octa-Core,8,,4 GB,6.56 inch,TFT LCD,FHD,720 x 1612 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,,PowerVR GE8320,128 GB,,,,Triple rear camera,Standard - Macro lens - Depth,50.0 MP - 2.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.2,1080p@30fps,Flash LED HDR Toàn cảnh (Panorama) Chụp chân dung - Chế độ chân dung,,,Mở khóa khuôn mặt,4G 3G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,GLONASS GPS GALILEO A-GPS BEIDOU,v5.1,Jack 3.5 mm,2,2 Nano SIM,Lithium polymer,5200 mAh,Android,Android 13.0,Ốp lưng Que lấy SIM Thẻ bảo hành Sách HDSD Sạc,,84%,,,20:9,269 ppi,,,,4 x Cortex A53 2.0 GHz + 4 x Cortex A53 1.5 GHz,,,,,,,,,,,
Samsung Galaxy A55 5G,7.535.220 ₫,9.990.000 ₫,9 tháng,Trầy xước ít,Việt Nam,03/2024,9,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.7 x 78.0 x 8.2 mm,209 g,IP67,Nhựa tổng hợp,Exynos 1480,Octa-Core,8,,8 GB,6.6 inch,Super AMOLED,FHD+,1080 x 2400 Pixels,16 Triệu,,,,1000 nits,Mali-G68 MP5,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Wide - Depth - Ultra Wide,50.0 MP - 12.0 MP - 5.0 MP - 32.0 MP,,4K 2160p@30fps,Quay siêu chậm (Super Slow Motion) Ban đêm (Night Mode) Xóa phông Chụp chân dung Làm đẹp (Beautify) Zoom quang học 10x Toàn cảnh (Panorama) Siêu cận (Macro) Chuyên nghiệp (Pro) Tự động lấy nét (AF) - Làm đẹp (Beautify),Single selfie camera,,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt Mở khóa bằng mật mã,5G,Type C,802.11 a/b/g/n/ac/ax Wi-Fi Hotspot Wi-Fi Direct Dual-band (2.4 GHz/ 5 GHz),,v5.3,NFC,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14,Cáp Type C Que lấy SIM Sách HDSD,,,,,,,,,,,,,,,,,,,,,
OPPO Reno11F 5G 8GB,,8.990.000 ₫,5 tháng,,Trung Quốc,03/2024,5,,,161.63 x 74.73 x 7.54 mm,177 g,IP65,Khung máy: Nhựa cao cấp,MediaTek Dimensity 7050 5G,Octa-Core,8,2.6 GHz,8 GB,6.7 inch,AMOLED,FHD+,1080 x 2412 Pixels,1 Tỷ,120,Kính cường lực Panda,Điện dung đa điểm,900 nits,Mali-G68 MC4,256 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Wide - Telephoto,64.0 MP - 8.0 MP - 2.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4,,,Single selfie camera,Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến gia tốc Cảm biến la bàn,Mở khóa bằng mật mã Mở khóa vân tay Mật khẩu,5G,Cổng sạc: Type C,Wifi 6,GPS GLONASS BDS GALILEO QZSS,v5.2,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14 (ColorOS 14),Cáp Type C Adapter Ốp lưng Sách HDSD Que lấy SIM,2 TB,,,,,,,,,,,,,,,,,,,,
Tecno Spark Go 2024 4GB,1.419.000 ₫,2.190.000 ₫,9 tháng,Trầy xước nhiều,Trung Quốc,2024,9,,,163.7 x 75.6 x 8.6 mm,186 g,,Mặt lưng máy: Nhựa Viền máy: Nhựa,Unisoc T606,Octa-Core,8,,4 GB,6.6 inch,IPS LCD,HD+,720 x 1612 Pixels,,90,,Điện dung đa điểm,480 nits,Mali-G57 MP1,64 GB,,,MicroSD,,Wide,13.0 MP - 0.08 MP - 8.0 MP,ƒ/2.0,1080p@30fps,A.I Camera Toàn cảnh (Panorama) Trôi nhanh thời gian (Time Lapse) Quay chậm (Slow Motion) Làm đẹp (Beautify) - A.I Camera Làm đẹp (Beautify) Ban đêm (Night Mode),,Cảm biến vân tay,Mở khóa vân tay,3G 4G,Type C,,,v5.0,,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Cáp Dock sạc Ốp lưng Sách HDSD,,84%,,,,267 ppi,,,1.12 µm,2 x Cortex A75 1.6 GHz + 6 x Cortex A55 1.6 GHz,,,,,,,,,,,
